4 4
0 0 1 0 A 6 0 0 7 3 0 0 0 4 C 0
5 0 0 0 1 4 F 7 D 0 E A 0 2 0 B
2 0 7 0 0 8 9 0 0 0 0 0 0 0 3 5
0 0 B 0 G 0 2 0 0 8 4 0 6 0 7 D
F 0 2 A 0 0 C 3 0 0 0 G 0 D 1 E
0 0 0 B F 0 0 G 0 E 0 0 0 0 0 0
0 G 0 1 4 0 7 2 0 A 0 5 C 9 B F
0 5 0 D 6 0 1 0 F 4 0 0 7 8 0 2
0 0 3 0 0 0 0 F 5 B 0 E D 0 6 0
7 0 0 5 3 0 0 8 0 0 A D 0 0 E 0
0 9 0 6 7 0 0 4 0 0 C 0 1 5 0 0
0 0 A 0 0 0 0 0 0 1 G 0 0 B F 9
A 0 0 0 0 G 0 1 0 0 2 0 0 F 0 0
0 0 F C 0 5 3 6 B 0 7 4 0 0 0 0
0 0 0 0 C 0 0 0 0 0 9 0 0 6 0 0
G 3 0 7 E F 0 9 0 D 0 0 B 0 0 0
